DrugName,Condition,ConditionCount,SideEffect,SideEffectCount,SuggestedQuestion
alka-seltzer heartburn+gas,Hemorrhoids,137.0,,,
alka-seltzer plus allerg-cough,Fungal Disease of the Nails,134.0,,,
alka-seltzer plus allergy,Ringworm of the Body,132.0,,,
alka-seltzer plus day,A Progressive Disease of the Thyroid Gland,131.0,,,
alka-seltzer plus day & night,Additional Medication for Tonic-Clonic Epilepsy,131.0,,,
alka-seltzer plus mucus-conges,Athlete's Foot,128.0,,,
alka-seltzer plus-d,Excessive Vomiting in Pregnancy,126.0,,,
alkeran,Abnormal Uterine Bleeding caused by Imbalance of Hormones,126.0,,,
all day allergy,Scabies,124.0,,,
all day allergy relief,Bronchi Muscle Spasm resulting from COPD,121.0,,,
all day allergy-d,Medication Treatment for Healing Erosive Esophagitis,120.0,,,
all day pain relief,Atrial Fibrillation Electrically Shocked to Normal Rhythm,120.0,,,
allantoin cream,Skin Infection due to a Candida Yeast,120.0,,,
allegra allergy,Inflammation of Skin caused by an Allergy,120.0,,,
allegra allergy tablet antihistamines,Inflammation of the Artery in the Temple Area,120.0,,,
allegra intensive relief cream,Severe Ulcerative Colitis,118.0,,,
allegra-d 12 hour,Muscle or Bone Disorder,117.0,,,
allegra-d 24 hour,Inflammation of the Eye Following Surgery,116.0,,,
aller-chlor,Prevention of Shingles,114.0,,,
aller-ease,Opiate Pain Medication causing Severe Constipation,113.0,,,
aller-ease tablet antihistamines,Bacterial Pneumonia caused by Haemophilus Influenzae,112.0,,,
aller-fex,Cluster Headache Prevention,112.0,,,
aller-tec,Scaly Oily Skin Problem Primarily On Face and Scalp,112.0,,,
aller-tec d,Enlarged Thyroid Gland,112.0,,,
allerclear,Inactive Tuberculosis,110.0,,,
allergy,HER2 Positive Breast Cancer,110.0,,,
allergy medication,Low HDL Cholesterol,109.0,,,
allergy medication capsule,Extremely High Blood Pressure,109.0,,,
allergy multi-symptom tablet,Severe Sinusitis caused by Moraxella Catarrhalis,109.0,,,
allergy relief (cetirizine) 10 mg tablet,Vitamin D Deficiency,109.0,,,
allergy relief (diphenhydramine) 25 mg tablet,Alzheimer's Disease,109.0,,,
allergy relief d-24,Depressed Mood Disorder Occurring Every Year at the Same Time,109.0,,,
allergy relief tablet,Infection of the Middle Ear by H. Influenzae Bacteria,108.0,,,
"allergy relief tablet, extended release",Chronic Stable Angina,108.0,,,
"allergy relief tablet,disintegrating",Worsening of Asthma,108.0,,,
allergy sinus-d,Increased Levels of Prolactin in the Blood,107.0,,,
allergy tablet,Age-Related Wet Macular Degeneration,107.0,,,
"allergy-congestion relief tablet, extended release 24 hr",Prevention of Cervical Cancer due to Human Papilloma Virus,106.0,,,
alli,Motion Sickness,106.0,,,
almotriptan malate,Clostridium Difficile Bacteria Related Colitis,106.0,,,
alocril drops,Prevention of Liver Transplant Rejection,105.0,,,
aloe vera,Inability of Body to Handle Lactose or Milk Sugar,104.0,,,
aloe vera-lidocaine gel,Colon and Rectal Cancer that has Spread to Another Area,104.0,,,
aloe-la-ceramide-silicone-tape kit,Angina Pectoris Prevention,103.0,,,
alogliptin,Treatment To Prevent Vitamin Deficiency,102.0,,,
alogliptin-pioglitazone,Acute Maxillary Sinus M. Catarrhalis Bacteria Infection,101.0,,,
alomide drops,Prevention of Breast Cancer,100.0,,,
alophen pills,Fatigue associated with Multiple Sclerosis,100.0,,,
"alora patch, transdermal semiweekly",Rapid Ventricular Heartbeat,99.0,,,
alosetron hcl,Bladder Infection caused by Enterobacter,99.0,,,
aloxi vial,Rapid Cycle Manic-Depression,98.0,,,
alpha lipoic acid (bulk) 100 % powder,Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity,98.0,,,
alpha lipoic acid capsule,Nerve Pain from Spinal Cord Injury,97.0,,,
alphagan p drops,Chronic Hepatitis B,97.0,,,
alphaquin hp cream,Severe Psoriasis that is Resistant to Treatment,96.0,,,
alprazolam,Breakthrough Pain in Opioid Tolerant Patients,96.0,,,
alprazolam (bulk) 100 % powder,Acute Maxillary Sinus S. Pneumoniae Bacteria Infection,96.0,,,
alprazolam concentrate,Relapsing Form of Multiple Sclerosis,96.0,,,
alprazolam er,Overactive Thyroid Gland,95.0,,,
alprazolam intensol,Impaired Brain Function due to Liver Disease,94.0,,,
alprazolam odt,Needing to Urinate Immediately,94.0,,,
alprostadil (bulk) 100% powder,Bladder Wall Inflammation,93.0,,,
alprostadil suppository,Diarrhea Predominant Irritable Colon,93.0,,,
alprostadil vial,Bronchitis caused by the Bacteria Moraxella Catarrhalis,92.0,,,
"alrex suspension, drops (final dose form)",Sleepiness Due To Shift Work Sleep Disorder,91.0,,,
altabax ointment,Chronic Post Traumatic Stress Disorder with Trauma-related Nightmares,90.0,,,
altace,Abortion,90.0,,,
altachlore drops,Nausea and Vomiting caused by Cancer Drugs,89.0,,,
altachlore ointment,Inflammation of the Eye,89.0,,,
altafluor drops,Slow Progression of Disease of the Arteries of the Heart,89.0,,,
"altamist spray, non-aerosol",Inflammation of Several Cartilages of the Body,89.0,,,
altavera,Psoriasis of Scalp,88.0,,,
alteplase 50 mg intravenous solution,Chlamydia Trachomatis Infection of Female Pelvic Organs,88.0,,,
"alteplase solution, reconstituted (recon soln)",Inflammation of Esophagus from Backflow of Stomach Acid,88.0,,,
altoprev,Addison's Disease,88.0,,,
altreno lotion,Lack in Vitamins,87.0,,,
alum-mag hydroxide-simethicone,Problems with Bladder Control,87.0,,,
aluminum chloride in alcohol solution,Inflammation of the Stomach Lining caused by H. Pylori,87.0,,,
"aluminum chloride solution, non-",Heart Ventricle Rhythm Problem,87.0,,,
"aluminum hydrox-magnesium carb tablet, chewable",Prevent Nausea and Vomiting from Cancer Chemotherapy,86.0,,,
alunbrig,Leg Pain when Walking; Absent at Rest,86.0,,,
alvesco hfa aerosol with adapter,Mitral Valve Prolapse Syndrome,86.0,,,
alvimopan capsule,Inducing of a Relaxed Easy State,86.0,,,
alyacen,Prevention of Motion Sickness,86.0,,,
alyacen tablet,Treatment to Prevent a Blood Clot in the Lung,86.0,,,
amabelz,Late Onset Asthma,86.0,,,
amantadine,Prolactin Excreting Tumor of the Pituitary Gland,85.0,,,
amantadine hcl (bulk) powder,Hair Loss,85.0,,,
"amantadine hcl capsule, extended release 24 hr (capsule, er hr)",Diffuse Proliferative Lupus Nephritis-A Kidney Disease,85.0,,,
amaryl,Persistent Hives of Unknown Cause,82.0,,,
ambien,Stomach Muscle Paralysis and Decreased Function,82.0,,,
ambien cr,Blood Clots in Deep Veins and in Blood Vessel of the Lung,82.0,,,
ambrisentan 10 mg tablet pah agents- endothelin receptor antagonists,Male Pattern Baldness,82.0,,,
amcinonide cream,Feeling Dizzy Upon Standing from Blood Pressure Drop,81.0,,,
amerge,Type of Angina Where Chest Pain Occurs at Rest,81.0,,,
amethia,Dupuytren's Contracture,81.0,,,
amethia lo,Chronic Infection of Genotype 1 Hepatitis C Virus,81.0,,,
amethyst,Simple Seizure,80.0,,,
amicar,Sneezing,80.0,,,
amidate syringe,Influenza Prevention,79.0,,,
amifostine vial,Urinary Tract Infection caused by Citrobacter,79.0,,,
amikacin sulfate vial,Skin Rash that Becomes Thick & Discolored From Rubbing It,79.0,,,
amiloride hcl,Dry Mouth Secondary to Sjogren's Syndrome,78.0,,,
amiloride hcl (bulk) powder diuretics,Drying and Inflammation of Cornea and Conjunctiva of Eyes,78.0,,,
amiloride-hydrochlorothiazide,Increased Facial Hair in a Woman,78.0,,,
amino acids,Wasting of Tissues of the Vulva,77.0,,,
aminocaproic acid,Infection Within the Abdomen,77.0,,,
aminocaproic acid vial,Ringworm of Groin Area,77.0,,,
aminolevulinic acid hcl solution,Muscle Pain,76.0,,,
aminophylline ampul,Fever,74.0,,,
amiodarone hcl,Prevent Decreased White Blood Cell Count from Cancer Chemotherapy,74.0,,,
amiodarone hcl vial,Infection of the Urinary Tract caused by Enterococcus,73.0,,,
"amiodarone hcl-d5w plastic bag, injection",Petit Mal Seizures,73.0,,,
amitiza,Overactive Thyroid causing Life-Threatening Symptoms,73.0,,,
amitriptyline (bulk) powder,Nephrotic Syndrome,72.0,,,
amitriptyline hcl,Low Platelet Count and Bleeding from Immune Response,71.0,,,
amlodipine besylate,Bedwetting,71.0,,,
amlodipine besylate (bulk) 100 % powder,Paroxysmal Atrial Fibrillation,71.0,,,
amlodipine besylate-benazepril,General Anesthesia,70.0,,,
amlodipine-atorvastatin,High Amount of Fats in the Blood,70.0,,,
amlodipine-olmesartan,Cancer that has Spread To the Bone From Solid Tumors,70.0,,,
amlodipine-valsartan,infection caused by bacteria,70.0,,,
amlodipine-valsartan-hctz,Recurrent Cold Sore,69.0,,,
ammonium lactate 5 % lotion,Treatment to Prevent Peripheral Artery Thromboembolism,68.0,,,
ammonium lactate cream,Deficiency of a Substance that Promotes Masculinization,68.0,,,
amnesteem,Postcoital Contraception,68.0,,,
"amobarbital solution, reconstituted (recon soln)",Tooth Decay Prevention,68.0,,,
amoxapine,Bacterial Pneumonia caused by Streptococcus,68.0,,,
amoxicillin,Metastatic Breast Cancer Progression Post-Antiestrogen Therapy,67.0,,,
amoxicillin (bulk) 100 % powder,Tourette's,67.0,,,
"amoxicillin er 775 mg tablet,extended release 24hr mphase",Chronic Inflammatory Skin Disease Marked by Blisters,66.0,,,
"amoxicillin suspension, reconstituted",Cognitive Impairment following Traumatic Brain Injury,66.0,,,
"amoxicillin tablet, chewable",Severe Chronic Obstructed Lung Disease,66.0,,,
amoxicillin-clavulanate pot er,Stroke Prevention,65.0,,,
amoxicillin-clavulanate potass,Bladder Pain,65.0,,,
"amoxicillin-clavulanate potass suspension, reconstituted",Cat Bite Wound,65.0,,,
amoxicillin-clavulanate potass tablet,Prevention of Low Potassium in the Blood,65.0,,,
amphetamine er 1.25 mg/ml oral 24 hr extended-release suspension pressors,Osteoporosis caused by Glucocorticoid Drugs,65.0,,,
amphetamine sulfate,Vasculitis,64.0,,,
amphetamine sulfate 20 mg disintegrating tablet,Exercise-Induced Bronchospasm Prevention,64.0,,,
"amphetamine tablet,disintegrating,extended release biphasic 24 hr (tablet,disintegrating,er hr)",Blood Clot caused by Artificial Heart Valve,64.0,,,
amphotericin b lipid complex suspension,Canker Sore,64.0,,,
amphotericin b vial,Bell's Palsy Paralysis of One Side of the Face,64.0,,,
ampicillin sodium vial,Throat Irritation,64.0,,,
ampicillin sodium vial with threaded port,Bronchitis caused by Haemophilus Parainfluenzae Bacteria,63.0,,,
ampicillin trihydrate,Symptoms Accompanying Esophageal Reflux of Stomach Acid,63.0,,,
ampicillin-sulbactam vial with threaded port,Medication Treatment for Healing Gastroesophageal Reflux,63.0,,,
ampyra,Red Patches from Sun Exposure on the Face or Scalp,63.0,,,
amrix,Chronic Inflammation of the Nose Not due to Allergies,63.0,,,
amzeeq 4 % topical foam tetracyclines,Lung Fibrosis,63.0,,,
anacin tablet,Bacterial Infection of Kidney due to E. Coli Organism,63.0,,,
anadrol-50,Prevention of Seizures following Head Injury or Surgery,63.0,,,
anafranil,Paroxysmal Supraventricular Tachycardia,63.0,,,
anagrelide hcl,Cancer of the Ovary,62.0,,,
anakinra syringe,Diabetes Insipidus,62.0,,,
analgesic,Bacterial Stomach or Intestine Infection caused by Anthrax,62.0,,,
analgesic rub (trolamine salicylate) 10 % topical cream,Joint Pain,62.0,,,
"analpram e kit, cream and towelette",Rare Progressive Liver Disease - Primary Biliary Cirrhosis,62.0,,,
analpram hc cream with applicator,Seizures with Irregular Muscle Contractions,61.0,,,
analpram-hc 1 %-1 % rectal cream,Weight Gain,61.0,,,
anamu,Bacterial Infection of the Eyelid,61.0,,,
anaprox ds,Urine Leakage When there is a Strong Desire to Void,61.0,,,
"anasept solution, irrigation",Fungal Infection of the Skin with Yellow Patches,60.0,,,
anaspaz,Inflammation of Eyelid Edges and the Lining of the Eye,60.0,,,
anastrozole,Prevent of Transplant Rejection,60.0,,,
anastrozole (bulk) 100 % powder,Chronic Phase Chronic Myeloid Leukemia,59.0,,,
anbesol (benzocaine) maximum strength 20 % mucosal gel,Infection of the Urinary Tract caused by Proteus Bacteria,58.0,,,
ancobon,Inflammation of the Elbow and Surrounding Tissue,58.0,,,
"androderm patch, transdermal 24 hours",Pituitary Hormone Deficiency,58.0,,,
androgel gel in packet,Ulcer of the Duodenum,58.0,,,
android,Eczema Skin Condition Resisting Treatment,58.0,,,
androxy 10 mg tablet androgens/anabolic steroids,Primary Prevention of Heart Attack,58.0,,,
anectine vial,High Eye Pressure or Glaucoma that May Worsen without Treatment,58.0,,,
"anefrin spray, non-aerosol",Sprains and Strains,57.0,,,
anesthetic gel,Hypertrophic Cardiomyopathy,57.0,,,
angeliq,Medication Treatment for Healing Stomach Ulcer,57.0,,,
animi-3,Skin Lesions that are Not Thick due to Sun Exposure,57.0,,,
annovera 0.15 mg-0.013 mg/24 hr vaginal ring contraceptives,Bacterial Pneumonia caused by Streptococcus pneumoniae,57.0,,,
"anoro ellipta blister, with inhalation device",Allergic Rhinitis Prevention,57.0,,,
antabuse,Rectal Disorder,57.0,,,
antacid 200 mg-200 mg-20 mg/5 ml oral suspension,Anemia due to Kidney Failure,56.0,,,
antacid anti-gas double str,Infection of Bone,56.0,,,
antacid extra strength,Mild Pain associated with Arthritis,56.0,,,
antacid liquid 200 mg-200 mg-20 mg/5 ml oral suspension,Deficiency of Luteinizing Hormone-Releasing Hormone,56.0,,,
antacid plus anti-gas,Inflammation of the Nose,56.0,,,
"antacid suspension, (final dose form)",Bronchospasm,56.0,,,
"antacid tablet, chewable",Severe Difficult to Treat Nodular Rosacea,55.0,,,
"antacid with simethicone suspension, (final dose form)",Bladder Infection caused by E. Coli,55.0,,,
antara,Infection Around a Tooth,55.0,,,
anthrax vaccine suspension,Outer Ear Inflammation caused by Allergy or Infection,55.0,,,
anti monkey butt topical powder,Female Problems Causing Trouble in Getting Pregnant,55.0,,,
anti-dandruff shampoo,Decreased Thyroid Function existing from Birth,55.0,,,
anti-diarrhea,Sepsis Caused by Bacteria,55.0,,,
anti-diarrheal,Having a Rapid Heart Action - Supraventricular Tachycardia,54.0,,,
anti-diarrheal liquid,Medication to Aid Study of the Blood Flow in the Heart,54.0,,,
anti-gas maximum strength 166 mg capsule,Anal Itching,53.0,,,
anti-itch (hydrocortisone) 1 % topical cream,Ear Wax that has Hardened and May Cause Blockage,53.0,,,
anti-itch (menthol/camphor) 0.5 %-0.5 % lotion dermatological irritants-counter-irritant formulations,Infection that causes Diarrhea - Giardiasis,53.0,,,
anti-itch maximum strength 2 % topical spray,Nausea and Vomiting of Pregnancy,52.0,,,
anti-nausea,Reddish Nodules Arranged in a Circle On the Skin,52.0,,,
anti-nausea ginger,Pseudotumor Cerebri,52.0,,,
antibiotic + pain relief ointment,Additional Agent to Induce General Anesthesia,52.0,,,
antifungal (tolnaftate) 1 % topical powder,Infection of the Middle Ear caused by Streptococcus,51.0,,,
antifungal cream,Presence of Head Lice,51.0,,,
antifungal cream 2 % topical,Peptic Ulcer due to Bacteria Helicobacter Pylori,51.0,,,
antifungal spray 1 % topical powder,High Amount of Ammonium in the Blood,51.0,,,
antihistamine,Primary Immune Deficiency Disorder,51.0,,,
"anucort-hc suppository, rectal",Mild Underactive Thyroid,50.0,,,
"anusol-hc suppository, rectal",Feel Like Throwing Up,50.0,,,
anzemet,Blistering Skin Diseases,50.0,,,
apetigen-plus,High Amount of Potassium in the Blood,50.0,,,
apexicon e cream,Decreased Function of the Adrenal Gland,50.0,,,
apidra solostar insulin pen,Premature Ejection of Semen,50.0,,,
apidra vial,Dry Skin,49.0,,,
apixaban tablet,Prevention of Bronchospasms with Emphysema,49.0,,,
aplenzin,High Blood Sugar,49.0,,,
apligraf disk,Heterozygous Inherited High Blood Cholesterol,49.0,,,
aplisol vial,Seizures with Breaks in Consciousness & Other Symptoms,49.0,,,
apokyn cartridge,Hormone Receptor Positive Postmenopausal Advanced Breast Cancer,49.0,,,
appetite control,Non-Hodgkin's Lymphoma,49.0,,,
apple cider vinegar,"Bleeding from Stomach, Esophagus or Duodenum",48.0,,,
apremilast tablet,Presence of Polyps in the Nose,48.0,,,
aprepitant,Diabetic with Foot Infection due to a Specific Bacteria,48.0,,,
apri,Sleep Disturbance with Extreme Anxiety,47.0,,,
